Hour,Weekday,Checkins
0,Sun,225209
1,Sun,235295
2,Sun,224716
3,Sun,184979
4,Sun,140092
5,Sun,101133
6,Sun,72404
7,Sun,52890
8,Sun,35079
9,Sun,21524
10,Sun,15903
11,Sun,13724
12,Sun,16856
13,Sun,28085
14,Sun,49652
15,Sun,86110
16,Sun,129330
17,Sun,171205
18,Sun,205088
19,Sun,229561
20,Sun,222193
21,Sun,197524
22,Sun,178938
23,Sun,168674
0,Sat,224425
1,Sat,245453
2,Sat,236195
3,Sat,189242
4,Sat,138952
5,Sat,97062
6,Sat,68465
7,Sat,49633
8,Sat,33591
9,Sat,21969
10,Sat,16753
11,Sat,15833
12,Sat,21330
13,Sat,36613
14,Sat,63294
15,Sat,103651
16,Sat,149504
17,Sat,188682
18,Sat,225651
19,Sat,251537
20,Sat,246969
21,Sat,229788
22,Sat,219524
23,Sat,217466
0,Fri,178666
1,Fri,190371
2,Fri,169989
3,Fri,127783
4,Fri,86825
5,Fri,55672
6,Fri,36546
7,Fri,26551
8,Fri,18004
9,Fri,12683
10,Fri,11837
11,Fri,15617
12,Fri,26149
13,Fri,37355
14,Fri,56684
15,Fri,79148
16,Fri,106798
17,Fri,119295
18,Fri,156740
19,Fri,194731
20,Fri,168226
21,Fri,154843
22,Fri,166393
23,Fri,190530
0,Thu,171669
1,Thu,181712
2,Thu,160906
3,Thu,117639
4,Thu,76283
5,Thu,42130
6,Thu,27108
7,Thu,20672
8,Thu,13830
9,Thu,10058
10,Thu,9776
11,Thu,14791
12,Thu,24631
13,Thu,34514
14,Thu,51012
15,Thu,70076
16,Thu,91269
17,Thu,99254
18,Thu,131839
19,Thu,162155
20,Thu,135046
21,Thu,124231
22,Thu,133354
23,Thu,151170
0,Wed,166254
1,Wed,174696
2,Wed,153923
3,Wed,111840
4,Wed,72821
5,Wed,44109
6,Wed,27175
7,Wed,19195
8,Wed,12484
9,Wed,8814
10,Wed,9200
11,Wed,14568
12,Wed,24828
13,Wed,34519
14,Wed,51139
15,Wed,69115
16,Wed,89414
17,Wed,97497
18,Wed,128179
19,Wed,157893
20,Wed,131959
21,Wed,120810
22,Wed,129874
23,Wed,146355
0,Tue,156195
1,Tue,162632
2,Tue,141732
3,Tue,103584
4,Tue,68950
5,Tue,42977
6,Tue,26646
7,Tue,18946
8,Tue,12452
9,Tue,8837
10,Tue,9448
11,Tue,14397
12,Tue,24994
13,Tue,35002
14,Tue,50415
15,Tue,67864
16,Tue,86936
17,Tue,95791
18,Tue,126253
19,Tue,155190
20,Tue,128641
21,Tue,117723
22,Tue,126244
23,Tue,143508
0,Mon,163336
1,Mon,161168
2,Mon,140252
3,Mon,106422
4,Mon,73497
5,Mon,48253
6,Mon,31624
7,Mon,23022
8,Mon,15327
9,Mon,11000
10,Mon,10432
11,Mon,14580
12,Mon,23655
13,Mon,33640
14,Mon,48243
15,Mon,66663
16,Mon,88219
17,Mon,100422
18,Mon,131296
19,Mon,160678
20,Mon,140018
21,Mon,127014
22,Mon,129185
23,Mon,138087